Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,
850,Hydrocortisone  250 mg inj,hydrocortisone ss,Not Recorded,none,7,,,
851,Hydrocortisone 10 mg tab,hydrocortisone,Not Recorded,none,2,,,
852,Hydrocortisone 100 mg/2 mL for study,hydrocortisone/PBO,Not Recorded,2 mL,21,mL,2,
853,Hydrocortisone 100 mg/2 mL inj,hydrocortisone,Not Recorded,2 mL,190042,mL,2,
854,Hydrocortisone 100mg/60mL enema,hydrocortisone,Not Recorded,60 mL,1,mL,60,
855,Hydrocortisone 5 mg tab,hydrocortisone,Not Recorded,none,2,,,
856,Hydrocortisone 500 mg inj,hydrocortisone,Not Recorded,none,233,,,
857,Hydrocortisone PF 100mg/2mL inj,hydrocortisone,Not Recorded,2 mL,280,mL,2,
858,Hydrocortisone pf 1mg/mL/NS neonate syringe,hydrocortisone in NS syringe,Not Recorded,none,542,,,
859,Hydrocortisone pf 2mg/mL/NS neonate subq syr.,hydrocortisone in NS syringe,Not Recorded,none,23,,,
860,Hydrocortisone pf 2mg/mL/NS neonate syringe,hydrocortisone in NS syringe,Not Recorded,none,1,,,
861,Hydromorphone 0.4mg/mL+Ketamine 1mg/mL PCA (ortho OR),hydromorphone  0.4mg+ ketamine 1mg pca,Not Recorded,none,49,,,
862,Hydromorphone 1 mg/mL inj,hydromorphone,Not Recorded,none,928746,,,
863,Hydromorphone 10 mg/mL 5 mL inj,hydromorphone,Milligram/Hour,5 mL,1809,mL,5,
864,Hydromorphone 10 mg/mL 5 mL inj,hydromorphone-HP,Not Recorded,5 mL,482,mL,5,
865,Hydromorphone 2 mg tab,hydromorphone,Not Recorded,none,11,,,
866,Hydromorphone 2 mg/1 mL inj,hydromorphone,Not Recorded,1 mL,262327,mL,1,
867,Hydromorphone 2 mg/mL inj.,hydromorphone,Not Recorded,none,131529,,,
868,Hydromorphone 4 mg tab,hydromorphone,Not Recorded,none,3,,,
869,Hydromorphone 40 mg/20 mL inj,hydromorphone,Not Recorded,20 mL,11927,mL,20,
870,Hydromorphone PCA 0.2mg/ml Syr.,hydromorphone PCA 0.2mg Syr.,Not Recorded,none,20544,,,
871,Hydromorphone PCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,Not Recorded,none,15434,,,
872,Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml in NS syr.,Not Recorded,none,8218,,,
873,Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr,Not Recorded,none,53939,,,
874,Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA 0.2mg/ml/ NS syr.,Not Recorded,none,21378,,,
875,Hydromorphone PCA/NCA 0.2mg/ml syringe,hydromorphone PCA/NCA 0.2mg/ml/ NS syr,Not Recorded,none,166499,,,
876,Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA in NS syringe,Not Recorded,1 mL,22996,mL,1,
877,Hydromorphone PCA/NCA 1mg/1 mL High Dose Syr.,hydromorphone PCA/NCA in NS syringe,Not Recorded,1 mL,7508,mL,1,
878,Hydromorphone-PF 2 mg/1 mL,hydromorphone-pf,Not Recorded,1 mL,5778,mL,1,
879,Hydroxocobalamin 5 gm Kit,hydroxocobalamin,Not Recorded,none,368,,,
880,"Hydroxyethyl Starch 6%/ NaCl 0.9% 500 mL bag
",hydroxyethyl starch,Not Recorded,500 mL,5,mL,500,
881,Hyperalimentation for charging,hyperalimentation,Not Recorded,none,6,,,
882,Hypertonic NACL 16.4% 50mL (NaCl/NaAcetate),hypertonic saline 16.4%,Not Recorded,50 mL,9132,mL,50,
883,Hypertonic NACL 3% 500 mL IV bag,nacl 3%,Not Recorded,500 mL,105507,mL,500,
884,Hypertonic NaCl 23.4% 120meq IVPB for Neuro (30mL),"na chloride 23.4% in Bag, sterile",Not Recorded,30 mL,11503,mL,30,
885,Hypertonic NaCl 23.4% 240meq IVPB for Neuro,"na chloride 23.4% in Bag, sterile",Not Recorded,none,1506,,,
886,Hypertonic Saline 7.5% 100mL (NaCl/NaAcetate),hypertonic saline 7.5%,Not Recorded,100 mL,299,mL,100,
887,IDArubicin 10 mg Inj,IDArubicin hcl,Not Recorded,none,19,,,
888,IDArubicin 5 mg inj,IDArubicin,Not Recorded,none,1409,,,
889,IRINOtecan 20 mg/mL inj,IRINOtecan,Not Recorded,none,138,,,
890,IV Stabilizer Solution inj,IV stabilizer solution,Not Recorded,none,319,,,
891,Ibutilide 1 mg/10 mL inj,ibutilide,Not Recorded,10 mL,365,mL,10,
892,Idarucizumab 2.5gm/50ml inj,idarucizumab,Not Recorded,50 mL,87,mL,50,
893,Ifosfamide 1gm inj,ifosfamide,Not Recorded,none,5276,,,
894,Ifosfamide 3 gm,ifosfamide,Not Recorded,none,196,,,
895,Imipenem-Cilastatin  500 mg inj,imipenem-cilastatin,Not Recorded,none,628,,,
896,Immune Glob 6gm (Carimune) sucr.contng.,immune globulin human (sucrose contng.),Not Recorded,none,40,,,
897,Immune Glob. Lymphocyte (Atgam),"lymphocyte, immune globulin",Not Recorded,none,367,,,
898,Immune Glob.12gm (Carimune) sucrose contng.,immune glob. (hum) sucrose contng.,Not Recorded,none,282,,,
899,Immune Globulin 10gm/100mL (Privigen),immune globulin intraven. SF,Not Recorded,100 mL,3748,mL,100,
900,Immune Globulin 10gm/100mL (Privigen),immune globulin intravenous SF,Not Recorded,100 mL,125,mL,100,
901,Immune Globulin 20gm/200mL (Gammagard),immune globulin (hum) sf,Not Recorded,200 mL,334,mL,200,
902,Immune Globulin sf 10gm/100mL (Gammagard),immune globulin human SF,Not Recorded,100 mL,1071,mL,100,
903,Immune Globulin sf 30gm/300mL (Gammagard),immune globulin human SF,Not Recorded,300 mL,3,mL,300,
904,Immune Globuln 20gm/200mL SF (Privigen),immune globulin intravenous,Not Recorded,200 mL,1030,mL,200,
905,Immune globulin 1gm neonate syringe.,immune globulin human SF syringe,Not Recorded,none,2,,,
906,Immune globulin 5 gm inj (Gammagard),immune globulin human SF,Not Recorded,none,368,,,
907,Immune globulin 5 gm inj (Privigen) 10%,immune globulin human SF,Not Recorded,none,1279,,,
908,InFLIXimab (Remicade) 100 mg inj,inFLIXimab,Not Recorded,none,422,,,
909,InFLIXimab (Remicade) 100 mg inj,inFLIXimab (Remicade),Not Recorded,none,29,,,
910,Indigo 0.8% 5 mL inj,indigo carmine 0.8%,Not Recorded,5 mL,1117,mL,5,
911,Indomethacin 1 mg ped inj,indomethacin,Not Recorded,none,28,,,
912,Insulin Bolus Neonate 0.1 unit(s)/mL/NS syringe,insulin regular in NS syringe,Not Recorded,none,2,,,
913,Insulin Bolus Neonate 1 unit(s)/mL/NS syringe,insulin regular in NS syringe,Not Recorded,none,8,,,
914,Insulin Detemir 100 units/mL inj for pregnancy,insulin detemir,Not Recorded,none,1,,,
915,Insulin Glargine (Human),"insulin, glargine",Not Recorded,none,5,,,
916,Insulin Glargine 100 units/mL inj,insulin glargine,Not Recorded,none,3,,,
917,Insulin Isophane Human recomb. 100 units/mL inj,insulin isophane (NPH),Not Recorded,none,5,,,
918,Insulin NPH (Human),"insulin, nph human",Not Recorded,none,3,,,
919,Insulin Reg Hum.,insulin regular,Not Recorded,none,62,,,
920,Insulin Reg Hum. (WW),insulin reg human,Not Recorded,none,6,,,
921,Insulin Reg Hum.-BG-formula,insulin reg human,Not Recorded,none,18,,,
922,Insulin Regular Human recomb. 100 units/mL inj,insulin regular,U/Hr,none,2432,,,
923,Insulin aspart  (NovoLOG),insulin aspart,Not Recorded,none,46,,,
924,Insulin aspart (NovoLOG).,insulin aspart,Not Recorded,none,87,,,
925,Insulin regular COMPOUNDING USE,insulin reg human,Not Recorded,none,203074,,,
926,Insulin regular COMPOUNDING USE,insulin regular CMPD,Not Recorded,none,51140,,,
927,Insulin regular COMPOUNDING USE,insulin regular COMPOUNDING,Not Recorded,none,1681,,,
928,Insulin/PBO for Shine Study,insulin/PBO-P# Shine study,U/Hr,none,451,,,
929,Invest NS 500mL bag for study,invest NS bag,Not Recorded,500 mL,606,mL,500,
930,Invest ganciclovir 500 mg for study,ganciclovir p#val038,Not Recorded,none,1,,,
931,Iodixanol 270 mg 100 mL btl,iodixanol,Not Recorded,100 mL,1,mL,100,
932,Iodixanol 320 mg/ mL 50 mL,iodixanol,Not Recorded,50 mL,1,mL,50,
933,Iohexol 180 mg 20mL,iohexol,Not Recorded,20 mL,1,mL,20,
934,Iohexol 300 100 mL btl,iohexol,Not Recorded,100 mL,5,mL,100,
935,Iohexol 300 10mL,iohexol,Not Recorded,10 mL,1,mL,10,
936,Iohexol 300 150 mL,iohexol,Not Recorded,150 mL,2,mL,150,
937,Iohexol 300 50mL inj,iohexol,Not Recorded,50 mL,6,mL,50,
938,Iohexol 350 100 mL,iohexol,Not Recorded,100 mL,1,mL,100,
939,Iohexol 350 150 mL,iohexol,Not Recorded,150 mL,2,mL,150,
940,Iohexol 350 50 mL inj,iohexol,Not Recorded,50 mL,51,mL,50,
941,Iohexol-350 100 mL,iohexol,Not Recorded,100 mL,3,mL,100,
942,Iopamidol 61% (Isovue 300) 50mL inj,iopamidol,Not Recorded,50 mL,2,mL,50,
943,Iopamidol 76% (Isovue 370) 50mL inj,iopamidol,Not Recorded,50 mL,1,mL,50,
944,Ipratropium 0.02% Inh Sol 2.5mL.,ipratropium 0.02%,Not Recorded,2.5 mL,1,mL,2.5,
945,Iron Dextran 100 mg/2 mL inj,iron dextran,Not Recorded,2 mL,1137,mL,2,
946,Iron Sucrose 100 mg/5mL inj,iron sucrose,Not Recorded,5 mL,35608,mL,5,
947,Isavuconazonium 372 mg inj,isavuconazonium,Not Recorded,none,5883,,,
948,Isoproterenol 0.2 mg/ 1 mL inj,isoproterenol,Not Recorded,1 mL,7,mL,1,
949,Isoproterenol 1 mg/5 mL inj,isoproterenol,Not Recorded,5 mL,11656,mL,5,
950,Isosulfan Blue 1% 5 mL inj,isosulfan blue 1%,Not Recorded,5 mL,2,mL,5,
951,KCl 10mEq/100 mL St. Water  premix,potassium chloride in sterile water,Not Recorded,100 mL,108756,mL,100,
952,KCl 2 mEq/ml  20 mL inj.,potassium chloride,Not Recorded,20 mL,101034,mL,20,
953,KCl 20 mEq SA tab,potassium chloride tab SA,Not Recorded,none,31,,,
954,KCl 20 mEq packet,potassium chloride,Not Recorded,none,23,,,
955,KCl 20 mEq/15 mL oral liq,potassium chloride,Not Recorded,15 mL,15,mL,15,
956,KCl 20 mEq/50 mL St. Water premix,potassium chloride in sterile water,Not Recorded,50 mL,120958,mL,50,
957,KCl 40 mEq/ 100 mL St.Water premix,potassium chloride in sterile water,Not Recorded,100 mL,89939,mL,100,
958,KCl 40 mEq/ NS 100 mL,potassium chloride in NS,Not Recorded,100 mL,104,mL,100,
959,KCl 40 mEq/30 mL oral liq,potassium chloride elixir,Not Recorded,30 mL,28,mL,30,
960,KCl 40 mEq/30 mL oral liq,potassium chloride liquid,Not Recorded,30 mL,746,mL,30,
961,Ketamine 200 mg/20mL inj ADD,ketamine,Not Recorded,20 mL,178570,mL,20,
962,Ketamine 50 mg/5mL syringe,ketamine,Not Recorded,5 mL,31110,mL,5,
963,Ketamine 500 mg/10 mL inj ADD,ketamine,Milligram/Hour,10 mL,30917,mL,10,
964,Ketamine 500 mg/10 mL inj CMPD,ketamine,Not Recorded,10 mL,2201,mL,10,
965,Ketamine 500 mg/5 mL inj,ketamine,Not Recorded,5 mL,7399,mL,5,
966,Ketamine 500 mg/5mL inj ADD,ketamine,Not Recorded,5 mL,20957,mL,5,
967,Ketamine HCl 10 mg/ mL inj (WW),ketamine,Not Recorded,none,21,,,
968,Ketamine HCl 200 mg/20 mL inj,ketamine,Milligram/Hour,20 mL,40917,mL,20,
969,Ketorolac 15 mg inj,ketorolac,Not Recorded,none,216406,,,
970,Ketorolac 30 mg inj,ketorolac,Not Recorded,none,307294,,,
971,Ketorolac 60 mg/2 mL inj,ketorolac,Not Recorded,2 mL,40,mL,2,
972,L&D-Mag Sulf 4gm/100mL St.Water premix,magnesium sulfate in sterile water,Not Recorded,100 mL,1576,mL,100,
973,L&D-Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,Not Recorded,100 mL,300,mL,100,
974,LACOSamide 100 mg tab,LACOSamide,Not Recorded,none,1,,,
975,LACOSamide 100 mg/10 mL liquid UD,LACOSamide,Not Recorded,10 mL,2,mL,10,
976,LACOSamide 200 mg/20 mL inj,LACOSamide,Not Recorded,20 mL,26448,mL,20,
977,LACOSamide 50 mg tab,LACOSamide,Not Recorded,none,4,,,
978,LEVOleucovorin 50 mg,levoleucovorin,Not Recorded,none,3,,,
979,LR 1000 mL IV bag,lactated ringers,Not Recorded,1000 mL,3452776,mL,1000,
980,LR 250 mL IV bag,lactated ringers,Not Recorded,250 mL,70,mL,250,
981,LR 500 mL IV bag,lactated ringers,Not Recorded,500 mL,31691,mL,500,
982,LR 500 mL IV bag for study,lactated ringers,Not Recorded,500 mL,9,mL,500,
983,Labetalol 10 mg/2 mL syringe,labetalol,Not Recorded,2 mL,15,mL,2,
984,Labetalol 100 mg/20 mL inj,labetalol,Not Recorded,20 mL,60396,mL,20,
985,Labetalol 100 mg/20 mL inj ADD,labetalol,Milligrams/Minute,20 mL,38942,mL,20,
986,Labetalol 20 mg/4 mL inj,labetalol,Not Recorded,4 mL,79375,mL,4,
987,Labetalol 20 mg/4 mL syringe,labetalol,Not Recorded,4 mL,6,mL,4,
988,Labetalol 200 mg tab,labetalol,Not Recorded,none,1,,,
989,Labetalol 300 mg tab,labetalol,Not Recorded,none,3,,,
990,Leucovorin 100 mg inj,leucovorin,Not Recorded,none,15241,,,
991,Leucovorin 200  mg/10  mL inj,leucovorin,Not Recorded,10 mL,22,mL,10,
992,Leucovorin 350 mg/17.5mL inj,leucovorin,Not Recorded,17.5 mL,34,mL,17.5,
993,Leucovorin 5 mg tablet,leucovorin,Not Recorded,none,5,,,
994,Leucovorin 50  mg inj,leucovorin,Not Recorded,none,4,,,
995,LevETIRAcetam 1000 mg/100 mL NACL IVPB,levETIRAcetam in NACL,Not Recorded,100 mL,26101,mL,100,
996,LevETIRAcetam 1500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,Not Recorded,100 mL,12478,mL,100,
997,LevETIRAcetam 500 mg/100 mL NACL IVPB,levETIRAcetam in NACL,Not Recorded,100 mL,29611,mL,100,
998,Levalbuterol 1.25 mg/0.5 mL solu UD,levalbuterol,Not Recorded,0.5 mL,1,mL,0.5,
999,LeveTIRACETAM 1000mg tab,leveTIRACETAM,Not Recorded,none,4,,,
1000,LeveTIRACETAM 500mg inj.,leveTIRACETAM,Not Recorded,none,60800,,,
1001,LeveTIRACETAM 500mg/5mL soln.,leveTIRACETAM,Not Recorded,5 mL,132,mL,5,
1002,LeveTIRACETAM XR 500mg tablet,levETIRAcetam XR,Not Recorded,none,1,,,
1003,LevoFLOXACIN 250 mg tab,levoFLOXACIN,Not Recorded,none,1,,,
1004,LevoFLOXACIN 250 mg/50 mL D5W,LevoFLOXACIN in d5w,Not Recorded,50 mL,4113,mL,50,
1005,LevoFLOXACIN 500 mg tab,levoFLOXACIN,Not Recorded,none,11,,,
1006,LevoFLOXACIN 500 mg/100 mL D5W,LevoFLOXACIN in d5w,Not Recorded,100 mL,30625,mL,100,
1007,LevoFLOXACIN 500mg inj,LevoFLOXACIN,Not Recorded,none,96,,,
1008,LevoFLOXACIN 750 mg tab,LevoFLOXACIN,Not Recorded,none,1,,,
1009,LevoFLOXACIN 750 mg/D5W 150 mL,LevoFLOXACIN in d5w,Not Recorded,150 mL,38533,mL,150,
1010,Levocarnitine 1000mg/5mL inj.,levocarnitine,Not Recorded,5 mL,16471,mL,5,
1011,Levocarnitine 1gm inj  TPN Charging,levocarnitine,Not Recorded,none,169,,,
1012,Levofloxacin 500mg/20mL oral soln,levofloxacin,Not Recorded,20 mL,1,mL,20,
1013,Levothyroxine 100 mcg tab,levothyroxine,Not Recorded,none,2,,,
1014,Levothyroxine 25 mcg tab,levothyroxine,Not Recorded,none,1,,,
1015,Levothyroxine 25mcg/mL 100 mL liq BULK,levothyroxine,Not Recorded,100 mL,2,mL,100,
1016,Levothyroxine 300 mcg tab,levothyroxine,Not Recorded,none,1,,,
1017,Levothyroxine 50 mcg tab,levothyroxine,Not Recorded,none,1,,,
1018,Levothyroxine 88 mcg tab,levothyroxine,Not Recorded,none,8,,,
1019,Lidocaine 0.5% PF 50 mL MDV inj,lidocaine 0.5%,Not Recorded,50 mL,3,mL,50,
1020,Lidocaine 0.5%/Epi inj 50 mL,lidocaine 0.5%/epi,Not Recorded,50 mL,2,mL,50,
1021,Lidocaine 1% 10 mL inj,lidocaine 1%,Not Recorded,10 mL,2,mL,10,
1022,Lidocaine 1% 20 mL inj.,lidocaine 1%,Not Recorded,20 mL,46,mL,20,
1023,Lidocaine 1% 50 mg/5 mL syringe (cardiac),lidocaine 1%,Not Recorded,5 mL,15,mL,5,
1024,Lidocaine 1% 5mL inj,lidocaine 1%,Not Recorded,5 mL,44,mL,5,
1025,Lidocaine 1% PF 30 mL,lidocaine 1% PF,Not Recorded,30 mL,62,mL,30,
1026,Lidocaine 1% PF 5 mL inj,lidocaine 1% PF,Not Recorded,5 mL,35,mL,5,
1027,"Lidocaine 1% w/Epi 1:100,000 50mL inj",lidocaine-epinephrine,Not Recorded,50 mL,1,mL,50,
1028,"Lidocaine 1% w/Epi 1:100,000 inj 20 mL",lidocaine 1% w/ epi,Not Recorded,20 mL,20,mL,20,
1029,"Lidocaine 1% w/Epi 1:200,000 inj 30mL PF inj",lidocaine 1% w/epi,Not Recorded,30 mL,3,mL,30,
1030,Lidocaine 1% w/Epi for local anesthesia,lidocaine 1% w/epi,Not Recorded,none,1,,,
1031,Lidocaine 1.5% 20mL inj,lidocaine 1.5%,Not Recorded,20 mL,6,mL,20,
1032,Lidocaine 1.5% w/epi 30 mL,lidocaine 1.5%/epi,Not Recorded,30 mL,35,mL,30,
1033,Lidocaine 100mg/5mL syringe (cardiac),lidocaine,Not Recorded,5 mL,2179,mL,5,
1034,Lidocaine 2% 10 mL inj,lidocaine 2%,Not Recorded,10 mL,212317,mL,10,
1035,Lidocaine 2% Epi 1.8mL Cart,lidocaine 2% w/-epi,Not Recorded,1.8 mL,6,mL,1.8,
1036,Lidocaine 2% Jelly  30 mL,lidocaine 2%,Not Recorded,30 mL,30,mL,30,
1037,Lidocaine 2% Nebulized soln,lidocaine 2%,Not Recorded,none,1,,,
1038,Lidocaine 2% PF 10 mL inj,lidocaine 2%,Not Recorded,10 mL,1,mL,10,
1039,Lidocaine 2% PF 2 mL inj,lidocaine 2%,Not Recorded,2 mL,4,mL,2,
1040,Lidocaine 2% PF 5 mL inj,lidocaine 2%,Not Recorded,5 mL,589,mL,5,
1041,Lidocaine 2% Visc 100 mL btl,lidocaine 2%,Not Recorded,100 mL,7,mL,100,
1042,Lidocaine 2% inj 20mL,lidocaine 2%,Not Recorded,20 mL,160,mL,20,
1043,Lidocaine 2% inj. 50mL inj,lidocaine,Not Recorded,50 mL,19,mL,50,
1044,Lidocaine 2% topical Gel 5 mL,lidocaine 2%,Not Recorded,5 mL,4,mL,5,
1045,Lidocaine 2% topical soln,lidocaine 2%,Not Recorded,none,4,,,
1046,Lidocaine 2% viscous liq 20 mL,lidocaine viscous 2%,Not Recorded,20 mL,15,mL,20,
1047,"Lidocaine 2% w/Epi 1:100,000 20mL inj",lidocaine 2% w/epi,Not Recorded,20 mL,7,mL,20,
1048,Lidocaine 20mg/mL OR syringe,lidocaine 2%,Not Recorded,none,5,,,
1049,Lidocaine 4% 5 mL inj,lidocaine 4%,Not Recorded,5 mL,96,mL,5,
1050,Lidocaine 4% Nebulized soln,lidocaine 4%,Not Recorded,none,16,,,
1051,Lidocaine 4% cream,lidocaine 4% cream,Not Recorded,none,1,,,
1052,Lidocaine 4% topical sol 50 mL,lidocaine 4%,Not Recorded,50 mL,14,mL,50,
1053,Lidocaine 5% oint 35 gm,lidocaine 5%,Not Recorded,none,1,,,
1054,Lidocaine 5%-Gluc 7.5% 2 mL inj,lidocaine 5% glucose 7.5%,Not Recorded,2 mL,2,mL,2,
1055,Lidocaine 8mg/ml Drip NEONATE,lidocaine in syringe,Not Recorded,none,16,,,
1056,Lidocaine Gel 2% 20mL (Uro-Jet Gel),lidocaine gel 2%,Not Recorded,20 mL,1,mL,20,
1057,Lidocaine Viscous 2%  UD,lidocaine viscous 2%,Not Recorded,none,101,,,
1058,Lidocaine topical 4% kit,lidocaine topical 4%,Not Recorded,none,46,,,
1059,Lidocaine w/ Epi 1.5% 10 mL inj,lidocaiine1.5%w/epi,Not Recorded,10 mL,3,mL,10,
1060,"Lidocaine w/Epi 2% 1:200,000 20 mL inj",lidocaine 2% w/ epi,Not Recorded,20 mL,4,mL,20,
1061,Linezolid 200 mg/100 mL premix,linezolid premix,Not Recorded,100 mL,18,mL,100,
1062,Linezolid 600 mg tab,linezolid,Not Recorded,none,2,,,
1063,Linezolid 600 mg/300 mL premix,linezolid premix,Not Recorded,300 mL,13164,mL,300,
1064,Linezolid 600 mg/300 mL premix.,linezolid premix,Not Recorded,300 mL,825,mL,300,
1065,Loratadine 10 mg tab,loratadine,Not Recorded,none,1,,,
1066,Lorazepam 0.5 mg tab,lorazepam,Not Recorded,none,2,,,
1067,Lorazepam 1 mg tab,lorazepam,Not Recorded,none,33,,,
1068,Lorazepam 2 mg/1 mL inj,lorazepam,Not Recorded,1 mL,241692,mL,1,
1069,Lorazepam 2 mg/mL 10 mL Extemp,lorazepam,Not Recorded,10 mL,1673,mL,10,
1070,Lorazepam 2 mg/mL 10 mL inj,lorazepam,Milligram/Hour,10 mL,64203,mL,10,
1071,Lorazepam 2 mg/mL conc. liq. (Palliative Care)BULK,lorazepam,Not Recorded,none,9,,,
1072,Lorazepam 4 mg/mL 10 mL inj,LORazepam,Not Recorded,10 mL,1,mL,10,
1073,Lorazepam IV Therapy,Lorazepam IV Therapy,Not Recorded,none,2,,,
1074,MORPHINE PF 0.5mg/ml in NS 2ml inj syr,morphine,Not Recorded,2 mL,6,mL,2,
1075,MVI Pediatric 10mL inj,multivit ped inj,Not Recorded,10 mL,92,mL,10,
1076,MVI-12   2X5 mL inj,multiple vitamins,Not Recorded,5 mL,56027,mL,5,
1077,MVI-12 (2X5mL) inj,multiple vitamins,Not Recorded,5 mL,62323,mL,5,
1078,Mag Sulf 1gm/100 mL D5W premix,magnesium sulfate in d5w,Not Recorded,100 mL,329,mL,100,
1079,Mag Sulf 6gm/NS 100mL ivpb,magnesium sulfate in ns,Not Recorded,100 mL,38,mL,100,
1080,Mag Sulfate 20gm/ 500ml Water inj,magnesium sulfate/water,Not Recorded,500 mL,111679,mL,500,
1081,Mag Sulfate 20mg/mL/NS neonate syringe,magnesium sulf. in NS syringe,Not Recorded,none,502,,,
1082,Mag Sulfate 40gm/ 1000ml Water inj,magnesium sulfate/water,Not Recorded,1000 mL,5743,mL,1000,
1083,Mag Sulfate 50%  5 gm/10mL inj ***,magnesium sulfate 50%,Not Recorded,10 mL,57261,mL,10,
1084,Mag Sulfate 50%(4 mEq/mL)2 mL inj,magnesium sulfate 50%,Not Recorded,2 mL,6673,mL,2,
1085,Magnesium Citrate oral soln Bulk,magnesium citrate,Not Recorded,none,1,,,
1086,Magnesium Sulf 2gm/50mL IVPB,magnesium sulfate,Not Recorded,50 mL,608868,mL,50,
1087,Magnesium Sulf 4gm/100mL IVPB,magnesium sulfate,Not Recorded,100 mL,119486,mL,100,
1088,Magnesium Sulf 5 gm/10mL OR syringe,magnesium sulfate,Not Recorded,10 mL,139,mL,10,
1089,Magnesium Sulf 5 gm/10mL inj ..,magnesium sulfate,Not Recorded,10 mL,4033,mL,10,
1090,Mannitol 20% 250 mL IV bag,mannitol 20%,Hour,250 mL,6165,mL,250,
1091,Mannitol 20% 500mL bag,mannitol 20%,Hour,500 mL,712,mL,500,
1092,Mannitol 25% 12.5gm/50 mL inj,mannitol 25%,Not Recorded,50 mL,648,mL,50,
1093,Melphalan 50 mg inj,melphalan,Not Recorded,none,2606,,,
1094,Meperidine 100 mg/1 mL inj.,meperidine,Not Recorded,1 mL,1922,mL,1,
1095,Meperidine 25 mg/1 mL inj,meperidine,Not Recorded,1 mL,3291,mL,1,
1096,Meperidine 25mg/0.5mL inj,meperidine,Not Recorded,0.5 mL,301,mL,0.5,
1097,Meperidine 50 mg/1 mL inj,meperidine,Not Recorded,1 mL,2032,mL,1,
1098,Mepivacaine 1% 30 mL inj,mepivacaine 1%,Not Recorded,30 mL,10,mL,30,
1099,Mepivacaine 2% 20 mL inj,mepivacaine 2%,Not Recorded,20 mL,11,mL,20,
1100,Meropenem 0.04mg/mL for Desensitization,meropenem/ns,Not Recorded,none,3,,,
1101,Meropenem 1000 mg inj,meropenem,Not Recorded,none,147597,,,
1102,Meropenem 1000mg/NS IVPB,meropenem in NS,Not Recorded,none,71792,,,
1103,Meropenem 10mg/mL for Desensitization,meropenem/ns,Not Recorded,none,4,,,
1104,Meropenem 1mg/mL for Desensitization,meropenem/ns,Not Recorded,none,1199,,,
1105,Meropenem 20mg/mL for Desensitization,meropenem/ns,Not Recorded,none,9,,,
1106,Meropenem 2gm Desensitization Rx Protocol- initiate,Meropenem 2gm Desensitization Rx Protocol- initiate,Not Recorded,none,29,,,
1107,Meropenem 500 mg inj,meropenem,Not Recorded,none,17599,,,
1108,Meropenem 500 mg/100 mL NS IVPB,meropenem in NS,Not Recorded,100 mL,44413,mL,100,
1109,Meropenem 500mg/NS 50mL IVPB,meropenem in ns,Not Recorded,50 mL,48829,mL,50,
1110,Mesna 1000 mg/10 mL inj,mesna,Not Recorded,10 mL,15427,mL,10,
1111,MethaDONE 1 mg/ 1 mL oral Liq,methaDONE,Not Recorded,1 mL,8,mL,1,
1112,MethaDONE 10 mg tab,methaDONE,Not Recorded,none,8,,,
1113,MethaDONE 10 mg/mL 20 mL inj,methaDONE,Not Recorded,20 mL,146,mL,20,
1114,MethaDONE 10 mg/ml 1mL IV syringe,methaDONE,Not Recorded,1 mL,12357,mL,1,
1115,MethaDONE 10 mg/ml neonate IV syringe,methaDONE,Not Recorded,none,21,,,
1116,MethaDONE 5 mg tab,methaDONE,Not Recorded,none,6,,,
1117,MethaDONE 5 mg/ 5 mL oral Liq,methaDONE,Not Recorded,5 mL,78,mL,5,
1118,Methocarbamol 1gm inj,methocarbamol,Not Recorded,none,33679,,,
1119,Methocarbamol 500 mg tab,methocarbamol,Not Recorded,none,8,,,
1120,Methocarbamol 750 mg tab,methocarbamol,Not Recorded,none,4,,,
1121,Methohexital 500 mg inj,methohexital,Not Recorded,none,4,,,
1122,Methotrexate 1gm inj,methotrexate,Not Recorded,none,1334,,,
1123,Methotrexate 50 mg/2 mL inj,methotrexate,Not Recorded,2 mL,5,mL,2,
1124,Methotrexate 50 mg/2 mL inj PF,methotrexate PF,Not Recorded,2 mL,3665,mL,2,
1125,Methotrexate Int Dose,methotrexate sodium,Not Recorded,none,4,,,
1126,MethylPREDNISolone  40 mg DEPO inj,methylPREDNISolone acetate (depo),Not Recorded,none,154,,,
1127,MethylPREDNISolone 1000mg inj,methylPREDNISolone,Not Recorded,none,21950,,,
1128,MethylPREDNISolone 125 mg/2 mL  inj,methylPREDNISolone,Not Recorded,2 mL,82174,mL,2,
1129,MethylPREDNISolone 2.5mg/mL/NS neonate syringe,methylPREDNISolone in NS syringe,Not Recorded,none,1,,,
1130,MethylPREDNISolone 2000mg inj,methylPREDNISolone,Not Recorded,none,5,,,
1131,MethylPREDNISolone 4 mg tab,methylPREDNISolone,Not Recorded,none,2,,,
